Mes,Treasury ETF,Technology ETF,Gold,Global Bank ETF,E MER ETF
23-Jan,3.15%,10.17%,5.54%,4.69%,7.60%
23-Feb,-4.19%,-0.30%,-5.45%,-2.12%,-6.72%
23-Mar,2.76%,9.08%,7.51%,10.20%,2.47%
23-Apr,-1.92%,0.30%,1.09%,3.92%,0.60%
23-May,-3.25%,7.42%,-1.61%,-3.67%,-2.02%
23-Jun,-1.41%,6.39%,-2.53%,7.23%,2.96%
23-Jul,-0.80%,3.73%,2.47%,4.40%,5.83%
23-Aug,-5.34%,-2.22%,-1.31%,-3.77%,-6.40%
23-Sep,-6.29%,-5.23%,-4.81%,-3.15%,-2.53%
23-Oct,-3.87%,-2.84%,6.58%,-4.92%,-4.08%
23-Nov,8.71%,10.44%,2.47%,11.78%,7.51%
23-Dec,3.15%,5.35%,1.09%,3.83%,4.02%
24-Jan,-3.46%,1.78%,-1.11%,1.59%,-4.92%
24-Feb,-2.12%,5.26%,2.47%,4.97%,4.59%
24-Mar,0.80%,1.49%,8.62%,4.21%,2.76%
24-Apr,-4.29%,-4.71%,2.76%,-2.84%,-5.02%
24-May,1.88%,5.92%,1.78%,3.44%,2.86%
24-Jun,1.39%,6.02%,4.21%,1.19%,3.73%
24-Jul,4.69%,-1.71%,4.02%,5.64%,1.29%
24-Aug,2.08%,1.49%,3.25%,-2.12%,1.78%
24-Sep,2.57%,2.76%,4.97%,3.34%,6.58%
24-Oct,-3.87%,-0.50%,-3.36%,3.15%,-4.60%
24-Nov,-3.25%,5.45%,-3.56%,7.51%,-3.77%
24-Dec,-2.43%,-2.12%,-0.80%,-0.90%,1.69%
